airport_code,city,coordinate,country,image_url,airport_name,icao,time_zone,city_code,country_iso2
0A7,Hendersonville,35.3187279:-82.4609528,United States,,,,,,
1G1,Elyria,41.368:-82.106,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Elyria_Ohio_Skyline.jpg/800px-Elyria_Ohio_Skyline.jpg,,,,,
AAA,Anaa,-17.36:-145.51,French Polynesia,,Anaa,NTGA,Pacific/Tahiti,AAA,PF
AAB,Arrabury,-26.69:141.05,Australia,,Arrabury Airport,YARY,Australia/Brisbane,AAB,AU
AAC,Al Arish,31.1319:33.8032,Egypt,,El Arish International Airport,HEAR,Africa/Cairo,AAC,EG
AAD,Ad-Dabbah,17.59:33.96,Sudan,,Adado Airport,HCAD,Africa/Khartoum,AAD,SO
AAE,Annaba,36.902859:7.755543,Algeria,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Ville_de_Annaba.jpg/800px-Ville_de_Annaba.jpg,Les Salines Airport,DABB,Africa/Algiers,AAE,DZ
AAF,Apalachicola,29.7257675:-84.9832435,United States,,Apalachicola Regional,KAAF,America/New_York,AAF,US
AAG,Arapoti,-24.1453357:-49.8188324,Brazil,,Arapoti,SSYA,America/Sao_Paulo,AAG,BR
AAH,Aachen,50.7754385:6.0815102,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Blick_auf_das_Rathaus_und_den_Dom_Aachens_aufgenommen_von_St_Jakob.jpg/800px-Blick_auf_das_Rathaus_und_den_Dom_Aachens_aufgenommen_von_St_Jakob.jpg,Aachen/Merzbruck,EDKA,Europe/Berlin,AAH,DE
AAI,Arraias,-12.9264218:-46.9351817,Brazil,,Arraias,SWRA,America/Araguaina,AAI,BR
AAJ,Awaradam,,Suriname,,Cayana Airstrip,SMCA,America/Paramaribo,AAJ,SR
AAK,Aranuka,0.1904667:173.6295222,Kiribati,,Aranuka,NGUK,Pacific/Tarawa,AAK,KI
AAL,Aalborg,57.028811:9.917771,Denmark,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Aalborg_from_the_Aalborg_tower.jpg/800px-Aalborg_from_the_Aalborg_tower.jpg,Aalborg Airport,EKYT,Europe/Copenhagen,AAL,DK
